Linux 6.11.3-arch1-1 (Legion-Arch-Linux) 	10/19/2024 	_x86_64_	(16 CPU)

06:37:40 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:41:58 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:59 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:42:00 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:42:01 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:42:02 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:42:03 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:42:04 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:42:05 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:42:06 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:42:07 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:42:08 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:42:09 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:42:10 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:42:11 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:42:12 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:42:13 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:42:14 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:42:15 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:42:16 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:42:17 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:42:18 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:42:19 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:42:20 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:42:21 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     2  blur
06:42:22 PM  1000     33413   98.00    0.00    0.00    0.00   98.00     6  blur
